Name,2001,2006,2011,2016,2021
Western Australia,28.6,29.9,33.4,35,34.1
Victoria,24.5,26.3,28.7,30.7,31.7
New South Wales,24.8,26.5,28.3,30.1,31
Australian Capital Territory,22.9,23.6,26.1,28.2,29.8
South Australia,21.2,21.9,23.7,24.5,25.1
Queensland,18,19.7,22.5,23.5,24.2
Northern Territory,16.1,15.7,18.9,22.6,23.9
Tasmania,10.8,11.5,12.5,13.1,16.3
