,Median age(c),,
Country of birth,2003,2013,2023
England,52,54,59
India,39,33,36
China(e),41,35,39
New Zealand,38,39,46
Philippines,39,39,40
Vietnam,39,44,48
South Africa,37,40,46
Malaysia,39,39,43
Nepal,28,28,29
Italy,63,69,73
Total overseas-born,46,45,43
Australian-born,32,34,35
Total population,36,37,38
