Country of birth,2013,2023
England,1012780,961570
India,378480,845800
China(d),432400,655760
New Zealand,585390,598090
Philippines,218870,361860
Vietnam,219940,298960
South Africa,172170,214790
Malaysia,138370,180470
Nepal,34750,179050
Italy,200670,158990
